clavecct,nombrecct,domicilio,numext,entrecalle,ycalle,callepost,codpost,colonia,ncolonia,localidad,municipio,entidad,ambito,longitud,latitud,turno,nturno,tipo,ntipo,nivel,nnivel,subnivel,nsubnivel,servicio,nservicio,control,ncontrol,subcontrol,nsubcontrol,sostenimiento,nsostenimiento
10DPR0029I,"SILVESTRE REVUELTAS",CONOCIDO,"","","","",34967,"","",0369,023,10,RURAL,-105.662276,23.43181,1,MATUTINO,1,"EDUCACION BASICA",12,PRIMARIA,004,"PRIMARIA GENERAL",21,"PRIMARIA GENERAL",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
10DPR0030Y,"PROF. MANUEL CHAIREZ MARTÍNEZ","SAN JOSÉ S/N",SN,"CERRADA SANTA BEATRIZ","","",35020,"","",0001,007,10,URBANO,-103.5024,25.593977,1,MATUTINO,1,"EDUCACION BASICA",12,PRIMARIA,004,"PRIMARIA GENERAL",21,"PRIMARIA GENERAL",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
10DPR0031X,"RAFAEL RAMÍREZ CASTAÑEDA","AGILADEROS S/N",SN,"","","",34890,0023,"COLONIA LAS FLORES",0001,038,10,URBANO,-103.972021,23.727367,1,MATUTINO,1,"EDUCACION BASICA",12,PRIMARIA,004,"PRIMARIA GENERAL",21,"PRIMARIA GENERAL",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
10DPR0032W,"VICENTE GUERRERO",CONOCIDO,"","","","",34682,"","",0264,026,10,RURAL,-105.575024,24.123858,1,MATUTINO,1,"EDUCACION BASICA",12,PRIMARIA,004,"PRIMARIA GENERAL",21,"PRIMARIA GENERAL",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
10DPR0033V,"SILVESTRE REVUELTAS",CONOCIDO,"","","","",35630,"","",0125,035,10,RURAL,-106.628333,25.447114,1,MATUTINO,1,"EDUCACION BASICA",12,PRIMARIA,004,"PRIMARIA GENERAL",21,"PRIMARIA GENERAL",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
10DPR0034U,"SILVESTRE REVUELTAS",CONOCIDO,"","","","",34600,"","",0008,032,10,RURAL,-106.439974,24.867452,1,MATUTINO,1,"EDUCACION BASICA",12,PRIMARIA,004,"PRIMARIA GENERAL",21,"PRIMARIA GENERAL",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
10DPR0035T,"NIÑOS HÉROES DE CHAPULTEPEC","AVENIDA HIDALGO S/N",SN,"CALZADA DURANGO","QUINTANA ROO","",35000,"","",0001,007,10,URBANO,-103.465004,25.587348,1,MATUTINO,1,"EDUCACION BASICA",12,PRIMARIA,004,"PRIMARIA GENERAL",21,"PRIMARIA GENERAL",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
10DPR0036S,"PROF. GREGORIO TORRES QUINTERO","OLIVOS S/N",SN,ALAMOS,"JUAN ESCUTIA","",35000,0105,"COLONIA EL MEZQUITAL 1",0001,007,10,URBANO,-103.502058,25.616802,1,MATUTINO,1,"EDUCACION BASICA",12,PRIMARIA,004,"PRIMARIA GENERAL",21,"PRIMARIA GENERAL",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
10DPR0037R,"SILVESTRE REVUELTAS","AVENIDA TAGARETE NÚM. 320","","","","",34635,0041,"COLONIA VALLE DEL TAGARETE",0001,032,10,URBANO,-105.434249,25.053036,2,VESPERTINO,1,"EDUCACION BASICA",12,PRIMARIA,004,"PRIMARIA GENERAL",21,"PRIMARIA GENERAL",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
10DPR0038Q,"EMILIANO ZAPATA",CONOCIDO,"","","","",35600,"","",0214,035,10,RURAL,-106.414727,25.414933,1,MATUTINO,1,"EDUCACION BASICA",12,PRIMARIA,004,"PRIMARIA GENERAL",21,"PRIMARIA GENERAL",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
10DPR0039P,"JOSÉ SANTOS VALDEZ","BOULEVARD SAN ALBERTO S/N",SN,"IGLESIA DE NEAPOLIS","IGLESIA DE JANO","",35000,"","",0001,007,10,URBANO,-103.487604,25.607681,1,MATUTINO,1,"EDUCACION BASICA",12,PRIMARIA,004,"PRIMARIA GENERAL",21,"PRIMARIA GENERAL",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
10DPR0040E,"SOR JUANA INÉS DE LA CRUZ","AVENIDA ARDILLAS S/N",SN,CEDROS,JACARANDAS,"",35049,0048,"FRACCIONAMIENTO PARQUE HUNDIDO",0001,007,10,URBANO,-103.470426,25.589971,1,MATUTINO,1,"EDUCACION BASICA",12,PRIMARIA,004,"PRIMARIA GENERAL",21,"PRIMARIA GENERAL",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
10DPR0041D,"FERNANDO MONTES DE OCA","JON DEL ROBLE NÚM. 441",SN,ALAMO,"CALZADA DE LOS FUNDADORES","",35000,0035,"FRACCIONAMIENTO MIRAVALLE",0001,007,10,URBANO,-103.489342,25.581912,1,MATUTINO,1,"EDUCACION BASICA",12,PRIMARIA,004,"PRIMARIA GENERAL",21,"PRIMARIA GENERAL",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
10DPR0042C,"NUEVA VIZCAYA","RINCÓN DE LOS LIRIOS S/N",SN,"LAS ROSAS","LOS TULIPANES","",34210,0089,"COLONIA RINCONADA LAS FLORES",0001,005,10,URBANO,-104.594792,24.041508,1,MATUTINO,1,"EDUCACION BASICA",12,PRIMARIA,004,"PRIMARIA GENERAL",21,"PRIMARIA GENERAL",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
10DPR0043B,"JUSTO SIERRA","DE LA RULETA S/N",SN,"CALZADA DEL CARRUSEL",MAYA,"",35000,0043,"FRACCIONAMIENTO LA FERIA",0001,007,10,URBANO,-103.472118,25.581655,2,VESPERTINO,1,"EDUCACION BASICA",12,PRIMARIA,004,"PRIMARIA GENERAL",21,"PRIMARIA GENERAL",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
10DPR0044A,"FELIPE ÁNGELES",CONOCIDO,"","","","",35800,"","",0689,034,10,RURAL,-106.943158,25.371913,1,MATUTINO,1,"EDUCACION BASICA",12,PRIMARIA,004,"PRIMARIA GENERAL",21,"PRIMARIA GENERAL",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
10DPR0045Z,"FRANCISCO VILLA",CONOCIDO,"","","","",34599,"","",0723,034,10,RURAL,-107.047043,25.238859,1,MATUTINO,1,"EDUCACION BASICA",12,PRIMARIA,004,"PRIMARIA GENERAL",21,"PRIMARIA GENERAL",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
10DPR0046Z,"16 DE SEPTIEMBRE",CONOCIDO,"","","","",34956,"","",9939,023,10,RURAL,-105.360278,23.778333,1,MATUTINO,1,"EDUCACION BASICA",12,PRIMARIA,004,"PRIMARIA GENERAL",21,"PRIMARIA GENERAL",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
10DPR0047Y,"VENUSTIANO CARRANZA",CONOCIDO,"","","","",34590,"","",0814,034,10,RURAL,-106.291111,24.469167,1,MATUTINO,1,"EDUCACION BASICA",12,PRIMARIA,004,"PRIMARIA GENERAL",21,"PRIMARIA GENERAL",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
10DPR0048X,"CONGRESO DE LA UNIÓN",CONOCIDO,"","","","",34670,"","",0125,026,10,RURAL,-106.146997,24.477492,1,MATUTINO,1,"EDUCACION BASICA",12,PRIMARIA,004,"PRIMARIA GENERAL",21,"PRIMARIA GENERAL",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
10DPR0049W,"JOSÉ REVUELTAS","C ONOCIDO",SN,"","","",34600,"","",0001,032,10,URBANO,-105.43827,25.046039,2,VESPERTINO,1,"EDUCACION BASICA",12,PRIMARIA,004,"PRIMARIA GENERAL",21,"PRIMARIA GENERAL",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
10DPR0050L,"MIGUEL HIDALGO",CONOCIDO,"","","","",34580,"","",0256,034,10,RURAL,-106.946667,24.992778,1,MATUTINO,1,"EDUCACION BASICA",12,PRIMARIA,004,"PRIMARIA GENERAL",21,"PRIMARIA GENERAL",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
10DPR0051K,"PROF. ARTURO GAMIZ GARCÍA","MANZANAS 19 Y 20 S/N",SN,"","","",35000,0061,"COLONIA LETICIA HERRERA",0001,007,10,URBANO,-103.500324,25.628099,1,MATUTINO,1,"EDUCACION BASICA",12,PRIMARIA,004,"PRIMARIA GENERAL",21,"PRIMARIA GENERAL",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
10DPR0052J,"IGNACIO ALLENDE","ANTARES S/N",SN,"","FRACCIONAMIENTO VILLAS DEL GUADIANA","",34208,0388,"FRACCIONAMIENTO VILLAS DEL GUADIANA IV",0001,005,10,URBANO,-104.585167,24.070027,1,MATUTINO,1,"EDUCACION BASICA",12,PRIMARIA,004,"PRIMARIA GENERAL",21,"PRIMARIA GENERAL",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
10DPR0053I,"GENERAL DOMINGO ARRIETA LEÓN",CONOCIDO,"","","","",34500,"","",9988,002,10,RURAL,-106.545,25.121667,1,MATUTINO,1,"EDUCACION BASICA",12,PRIMARIA,004,"PRIMARIA GENERAL",21,"PRIMARIA GENERAL",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
10DPR0054H,"GUADALUPE VICTORIA","FLOR DE JACARANDA S/N",SN,"FLOR DE SAUCO","FLOR DE NOCHEBUENA","",34334,0222,"FRACCIONAMIENTO RINCONADA BUGAMBILIAS",0001,005,10,URBANO,-104.603611,24.043646,1,MATUTINO,1,"EDUCACION BASICA",12,PRIMARIA,004,"PRIMARIA GENERAL",21,"PRIMARIA GENERAL",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
10DPR0055G,"JOSÉ VASCONCELOS","PASEO DEL ROBLE S/N",SN,ROBLE,EBANO,"",34167,0381,"FRACCIONAMIENTO NUEVO DURANGO II",0001,005,10,URBANO,-104.640419,24.017001,1,MATUTINO,1,"EDUCACION BASICA",12,PRIMARIA,004,"PRIMARIA GENERAL",21,"PRIMARIA GENERAL",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
10DPR0056F,"DOLORES DEL RÍO","LUCIO CABAÑAS S/N",SN,"PROL. FRANCISCO VILLA","GENARO VÁZQUEZ","",34014,0396,"COLONIA JUAN SALAZAR",0001,005,10,URBANO,-104.652614,24.045701,1,MATUTINO,1,"EDUCACION BASICA",12,PRIMARIA,004,"PRIMARIA GENERAL",21,"PRIMARIA GENERAL",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
10DPR0057E,"GENERAL FRANCISCO VILLA","BOULEVARD DE LAS FLORES S/N",SN,"","","",35010,0044,"FRACCIONAMIENTO LAS BUGAMBILIAS",0001,007,10,URBANO,-103.489027,25.590102,2,VESPERTINO,1,"EDUCACION BASICA",12,PRIMARIA,004,"PRIMARIA GENERAL",21,"PRIMARIA GENERAL",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
10DPR0058D,"OLGA ARIAS","PRIMERA CERRADA DE LERDO DE TEJADA S/N",SN,"CIRCUITO INTERIOR","IGNACIO RAMÍREZ","",34168,0376,"FRACCIONAMIENTO VIVAH REFORMA",0001,005,10,URBANO,-104.678251,24.016683,1,MATUTINO,1,"EDUCACION BASICA",12,PRIMARIA,004,"PRIMARIA GENERAL",21,"PRIMARIA GENERAL",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
10DPR0059C,"JESÚS VALENZUELA",CONOCIDO,"","A MITAD DE CAMINO ENTRE LA ROSALIA Y LLA","NO GRANDE","",35601,"","",0102,009,10,RURAL,-106.276787,26.059407,1,MATUTINO,1,"EDUCACION BASICA",12,PRIMARIA,004,"PRIMARIA GENERAL",21,"PRIMARIA GENERAL",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
10DPR0060S,"ÁLVARO OBREGÓN",CONOCIDO,"","NUEVO IDEAL A MIGUEL NEGRETE","","",34420,"","",0010,039,10,RURAL,-105.073611,24.952222,1,MATUTINO,1,"EDUCACION BASICA",12,PRIMARIA,004,"PRIMARIA GENERAL",21,"PRIMARIA GENERAL",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
